Algorithm,Nodes,Time
Bellman-Ford,20,0.00014400000024276474
Bellman-Ford,40,0.0005982000050911059
Bellman-Ford,60,0.001554333323535199
Bellman-Ford,80,0.0022653999913018197
Bellman-Ford,100,0.0035417999994630613
DAG Shortest,20,1.273333327844739e-05
DAG Shortest,40,1.956667013776799e-05
DAG Shortest,60,2.986667095683515e-05
DAG Shortest,80,2.8600014047697186e-05
DAG Shortest,100,5.0233337484921016e-05
Dijkstra,20,1.4866653752202788e-05
Dijkstra,40,2.8733328993742664e-05
Dijkstra,60,4.7166666869694986e-05
Dijkstra,80,4.463334335014224e-05
Dijkstra,100,7.21333393206199e-05
Floyd-Warshall,20,0.000662499990236635
Floyd-Warshall,40,0.004608733317581937
Floyd-Warshall,60,0.014979666671327626
Floyd-Warshall,80,0.03281870000258399
Floyd-Warshall,100,0.06773419999323475
Johnson,20,0.0006255666667129844
Johnson,40,0.001961366671215122
Johnson,60,0.005553366664874678
Johnson,80,0.008008766667141268
Johnson,100,0.013273033332855752
